Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
129863795,334.5,C21H34O3,CCCCCCCCCCCCCCC(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)pentadecan-1-one",1,0,C22H36O3,,CCCCCCCCCCCCCCCOCCCCCCOO,,,False
129863636,250.33,C15H22O3,CCCCCCCCC(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)nonan-1-one",1,0,C16H24O3,,CCCCCCCCCOCCCCCCOO,,,False
129863599,320.5,C20H32O3,CCCCCCCCCCCCCC(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)tetradecan-1-one",1,0,C21H34O3,,CCCCCCCCCCCCCCOCCCCCCOO,,,False
129863517,236.31,C14H20O3,CCCC(CCC)C(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)-2-propylpentan-1-one",1,0,C15H22O3,,CCCCCCCCOCCCCCCOO,,,False
129862838,414.5,C24H30O6,C1=CC(=C(C=C1C(=O)CCCCCCCCCCC(=O)C2=CC(=C(C=C2)O)O)O)O,"1,12-bis(3,4-dihydroxyphenyl)dodecane-1,12-dione",1,0,C25H32O6,,CCCCCCCOCCCCCCCCCCCOCCCCCCOOOO,,,False
129862733,278.34,C16H22O4,CCCCCCC(=O)CCC(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)decane-1,4-dione",1,0,C17H24O4,,CCCCCCCOCCCOCCCCCCOO,,,False
129858266,266.33,C15H22O4,CCCCCCC(CC1=CC(=C(C=C1)O)O)C(=O)O,"2-[(3,4-dihydroxyphenyl)methyl]octanoic acid",1,0,C16H24O4,,CCCCCCCCCCCCCCOOCOO,CCCCCCCCCCCCCCCOOO;CCCCCCCCCOCCCCCCOO,,False
129850580,350.28,C16H14O9,COC(=O)C(C1=CC(=C(C=C1)O)O)OC2=CC(=CC(=C2C(=O)O)O)O,"2-[1-(3,4-dihydroxyphenyl)-2-methoxy-2-oxoethoxy]-4,6-dihydroxybenzoic acid",3,0,C17H16O9,,COCOCCCCCCCOOOCCCCCCCOOOO,,,False
129850565,322.27,C15H14O8,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one;hydrate",2,1,C16H16O8,,CCCCCCCCCOCCCCCCOOOOOOO,,,False
129850255,476.4,C23H24O11,CCOC1=CC(=CC2=C1C(=O)C(=C(O2)C3=CC(=C(C=C3)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5-ethoxy-7-hydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",2,0,C24H26O11,,CCOCCCCCCCOCCOCCCCCCOOOCCCCCOCOOOO,,,False
