Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
118338449,270.4,C18H22O2,CCC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C(C)C,4-[3-(4-hydroxyphenyl)-2-methylpentan-3-yl]phenol,0,7,C18H22O3,133896.0,CCCCCCCCCOCCCCCCOCCC,2,132452081;10039637
118264466,304.4,C21H20O2,CC1=CC(=CC(=C1O)C(C)C2=CC=CC=C2)C3=CC=C(C=C3)O,4-(4-hydroxyphenyl)-2-methyl-6-(1-phenylethyl)phenol,0,2,C21H20O3,290973.0,CCCCCCCOCCCCCCCCCCCCCCO,7,138718803;132603829;132603828;88070612;20355713;20355712;20355689
118229779,292.4,C20H20O2,C1=CC(=CC=C1C/C=C/C=C/C=C/CC2=CC=C(C=C2)O)O,"4-[(2E,4E,6E)-8-(4-hydroxyphenyl)octa-2,4,6-trienyl]phenol",0,1,C20H20O3,19088711.0,CCCCCCCCCCCCCCCCCCCCOO,6,162675602;153387746;129394900;101739487;70387992;68584722
118229777,320.4,C22H24O2,C1C2CC3CC(C2)(CC1C3C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,4-[5-(4-hydroxyphenyl)-2-adamantyl]phenol,0,2,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
118012325,392.5,C28H24O2,CC(C1=CC=C(C=C1)C2=CC3=C(CC3)C=C2)(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"4-[1-[4-(3-bicyclo[4.2.0]octa-1(6),2,4-trienyl)phenyl]-1-(4-hydroxyphenyl)ethyl]phenol",0,4,C28H24O3,170259327.0,CCCCCCCCCCCCCCCCCCCCCCOCCCCCCO,1,170259327
117964278,276.3,C19H16O2,CC1=C(C=CC=C1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[3-(4-hydroxyphenyl)-2-methylphenyl]phenol,1,6,C19H16O3,167947.0,CCCCCCCCCCCCCOCCCCCCO,2,139703304;71219104
117964240,344.4,C24H24O2,C1CC(CC(C1)(C2=CC=CC=C2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4-[3-(4-hydroxyphenyl)-3-phenylcyclohexyl]phenol,0,4,C24H24O3,10737245.0,CCCCCCCCCCCCCCCCCCOCCCCCCO,1,168326485
117964239,344.4,C24H24O2,C1CCC(CC1)C2=C(C=C(C=C2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4-[4-cyclohexyl-3-(4-hydroxyphenyl)phenyl]phenol,0,6,C24H24O3,10737245.0,CCCCCCCCCCCCCCCCCCOCCCCCCO,1,168326485
117933983,304.4,C21H20O2,CC1=CC(=CC=C1)C(C)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[1-(4-hydroxyphenyl)-1-(3-methylphenyl)ethyl]phenol,0,2,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
117812782,231.3,C15H16O2,[2H]C([2H])([2H])C(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,"4-[1,1,1-trideuterio-2-(4-hydroxyphenyl)propan-2-yl]phenol",0,1,C15H16O3,102722.0,CCCCCCCCCOCCCCCCO,14,163839147;154400824;139610559;101546044;101546040;101299639;101299599;84157248;70520955;68113063;19887670;14848833;10847880;656689
