Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count
105500282,238.28,C13H18O4,CCOC(=O)C(C)(C)C1=CC(=C(C=C1)OC)O,ethyl 2-(3-hydroxy-4-methoxyphenyl)-2-methylpropanoate,0,0
105497536,236.26,C13H16O4,CCOC(=O)C1(CC1)C2=CC(=C(C=C2)OC)O,ethyl 1-(3-hydroxy-4-methoxyphenyl)cyclopropane-1-carboxylate,0,0
105478904,222.24,C12H14O4,COC1=C(C=C(C=C1)C2(CC2)C(=O)OC)O,methyl 1-(3-hydroxy-4-methoxyphenyl)cyclopropane-1-carboxylate,0,0
105463833,210.23,C11H14O4,CC(C1=CC(=C(C=C1)OC)O)C(=O)OC,methyl 2-(3-hydroxy-4-methoxyphenyl)propanoate,0,0
105447981,194.23,C11H14O3,CC(C)(C=O)C1=CC(=C(C=C1)OC)O,2-(3-hydroxy-4-methoxyphenyl)-2-methylpropanal,0,0
105445791,192.21,C11H12O3,COC1=C(C=C(C=C1)C2(CC2)C=O)O,1-(3-hydroxy-4-methoxyphenyl)cyclopropane-1-carbaldehyde,0,0
104950597,286.32,C17H18O4,CC1=CC2=C(C=C1)OC(C[C@@H]2O)C3=CC(=C(C=C3)OC)O,"(4S)-2-(3-hydroxy-4-methoxyphenyl)-6-methyl-3,4-dihydro-2H-chromen-4-ol",0,0
104950371,286.32,C17H18O4,CC1=CC2=C(C=C1)OC(C[C@H]2O)C3=CC(=C(C=C3)OC)O,"(4R)-2-(3-hydroxy-4-methoxyphenyl)-6-methyl-3,4-dihydro-2H-chromen-4-ol",0,0
104950142,272.29,C16H16O4,COC1=C(C=C(C=C1)C2C[C@H](C3=CC=CC=C3O2)O)O,"(4R)-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-4-ol",0,0
104949890,272.29,C16H16O4,COC1=C(C=C(C=C1)C2C[C@@H](C3=CC=CC=C3O2)O)O,"(4S)-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-4-ol",0,0
104503496,236.26,C13H16O4,CCOC(=O)/C(=C/C1=CC(=C(C=C1)OC)O)/C,ethyl (E)-3-(3-hydroxy-4-methoxyphenyl)-2-methylprop-2-enoate,0,0
103439628,208.21,C11H12O4,COC1=C(C=C(C=C1)C2CCC(=O)O2)O,5-(3-hydroxy-4-methoxyphenyl)oxolan-2-one,0,0
103200046,222.19,C11H10O5,COC1=C(C=C(C=C1)/C=C/C(=O)C(=O)O)O,(E)-4-(3-hydroxy-4-methoxyphenyl)-2-oxobut-3-enoic acid,0,0
103090755,206.24,C12H14O3,C/C(=C/C1=CC(=C(C=C1)OC)O)/C(=O)C,(Z)-4-(3-hydroxy-4-methoxyphenyl)-3-methylbut-3-en-2-one,0,0
