Molecular_Formula,Trimmed_SMILES
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C31H28O14,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOOOOOO
C31H28O14,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOOOOOO
C23H24O11,CCCCCCCCCOCCCCCCOOCCCCCCOCOOOOOO
C17H16O7,CCCCCCCCCOCCOCCCCOOOCO
C16H20O9,CCCCCCCCCOOCCCCCCOOOOOO
C16H20O9,CCCCCCCCCOOCCCCCCOOOOOO
C20H20O6,CCCCCCCCCOCCOCCCCCCCCOOO
C31H30O14,CCCCCCCCCOOCCCCCCOOCCCCCOCCOCCCCCCCCOOOOOOO
C31H30O14,CCCCCCCCCOOCCCCCCOOCCCCCOCCOCCCCCCCCOOOOOOO
C20H20O6,CCCCCCCCCOCOCCCCCCCCOOCO
C20H20O6,CCCCCCCCCOCOCCCCCCCCOOCO
C19H16O8,CCCCCCCCCCOCOCOOCCCCCCOOO
C22H22O11,CCCCCCCCCOOCCOOCCCCCCCCCOOCOOOO
C22H22O11,CCCCCCCCCOOCCOOCCCCCCCCCOOCOOOO
C37H38O18,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOCCCCCOCOOOOOOOO
C37H38O18,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOCCCCCOCOOOOOOOO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H34O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOOOOOO
C31H34O10,CCCCCCCCCOCCCOCOCCCCCCCCCOOCOCCCCCCOOCO
