Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
70615113,204.22,C12H12O3,C1C=C(C=CC1(O)O)C2=CC=C(C=C2)O,"4-(4-hydroxyphenyl)cyclohexa-2,4-diene-1,1-diol",0,1,C12H12O4,13790216.0,CCCCCCOOCCCCCCO,CCCCCCOOCCCCCCO,5,142347598;59264349;22646089;19354071;19104453
70606183,284.4,C19H24O2,CC(C)(C)CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,"4-[2-(4-hydroxyphenyl)-4,4-dimethylpentan-2-yl]phenol",0,2,C19H24O3,10542241.0,CCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCOCCCCCCO,2,142988799;137635165
70597664,226.27,C15H14O2,C=CCC1=C(C=CC(=C1)C2=CC=C(C=C2)O)O,4-(4-hydroxyphenyl)-2-prop-2-enylphenol,0,22,C15H14O3,159243.0,CCCCCCCCCCCCCCCOO,CCCCCCCCCCCCCCCOO,5,138745042;68467859;68467857;54294231;159243
70549509,256.339,C17H20O2,CCCCC1=C(C(=CC=C1)CC2=CC=C(C=C2)O)O,2-butyl-6-[(4-hydroxyphenyl)methyl]phenol,0,1,C17H20O3,10445935.0,CCCCCCCCCCCCCCCCCOO,CCCCCCCCCCCCCCCCCOO,4,159403007;89888275;58757412;10445935
70539076,238.28,C16H14O2,C1CC2=C(C=CC(=C2)O)C=C1C3=CC=C(C=C3)O,"6-(4-hydroxyphenyl)-7,8-dihydronaphthalen-2-ol",0,3,C16H14O3,9856398.0,CCCCCCCCOCCCCCCCCO,CCCCCCCCOCCCCCCCCO,5,72742134;14977364;14977358;68026143;54274712
70537984,334.4,C22H22O3,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)O)O)C(C3=CC=CC=C3)O,"4-(4-hydroxyphenyl)-1,2-diphenylbutane-1,4-diol",0,1,C22H22O4,232012.0,CCCCCCCCCCCCCCCOOCCCCCCCO,CCCCCCCCCCCCCCCOOCCCCCCCO,1,139654132
70535965,214.26,C14H14O2,CC1=C(C=CC(=C1)O)CC2=CC=C(C=C2)O,4-[(4-hydroxyphenyl)methyl]-3-methylphenol,0,4,C14H14O3,17767753.0,CCCCCCCOCCCCCCCO,CCCCCCCOCCCCCCCO,17,129664459;129105668;117220497;117220373;117220244;101299455;101299453;101299448;101299447;101299392;101299390;101299385;101299384;89744832;59014798;24179191;21571251
70507595,192.21,C11H12O3,C=CCC(C1=CC=C(C=C1)O)C(=O)O,2-(4-hydroxyphenyl)pent-4-enoic acid,0,5,C11H12O4,69197308.0,CCCCCCCCCCOCOO,CCCCCCCCCCOCOO,1,88595649
70503415,268.26,C16H12O4,CC1=C2C(=C(C=C1)O)C(=O)C(=CO2)C3=CC=C(C=C3)O,5-hydroxy-3-(4-hydroxyphenyl)-8-methylchromen-4-one,0,3,C16H12O5,101139325.0,CCCCCCCOCOCCOCCCCCCO,CCCCCCCOCOCCOCCCCCCO,1,42604869
70498609,250.33,C15H22O3,CCCCC(COC(=O)CC)C1=CC=C(C=C1)O,2-(4-hydroxyphenyl)hexyl propanoate,0,1,C15H22O4,10264899.0,CCCCCCOCOCCCCCCCCO,CCCCCCOCOCCCCCCCCO,3,162894093;161388303;46927926
70479049,310.4,C21H26O2,CCCC1(CCCCC1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[2-(4-hydroxyphenyl)-2-propylcyclohexyl]phenol,0,1,C21H26O3,10314309.0,CCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCCOCCCCCCO,3,10520194;139833130;139833129
70467986,176.21,C11H12O2,CC(=O)C(C=C)C1=CC=C(C=C1)O,3-(4-hydroxyphenyl)pent-4-en-2-one,0,8,C11H12O3,656878.0,CCOCCCCCCCCCO,CCOCCCCCCCCCO,1,68225976
70467215,224.25,C12H16O4,CCC(=O)OCC(C)(C1=CC=C(C=C1)O)O,[2-hydroxy-2-(4-hydroxyphenyl)propyl] propanoate,0,1,C12H16O5,677216.0,CCCOOCCCCCCCCCOO,CCCOOCCCCCCCCCOO,1,142754695
70466578,314.4,C20H26O3,C1C2CC3CC1CC(C2)(C3)CCCC(=O)OC4=CC=C(C=C4)O,(4-hydroxyphenyl) 4-(1-adamantyl)butanoate,0,2,C20H26O4,476858.0,CCCCCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCCCCOOCCCCCCO,3,158116571;141297987;642531
70464813,236.31,C14H20O3,CC(C)(CCCCC(=O)O)C1=CC=C(C=C1)O,6-(4-hydroxyphenyl)-6-methylheptanoic acid,0,2,C14H20O4,10354846.0,CCCCCCCCOOCCCCCCO,CCCCCCCCOOCCCCCCO,1,132992005
70464786,312.4,C20H24O3,CC1=CC=CC=C1C(CCC(=O)O)C(C)(C)C2=CC=C(C=C2)O,5-(4-hydroxyphenyl)-5-methyl-4-(2-methylphenyl)hexanoic acid,0,2,C20H24O4,10616256.0,CCCCCCCCCCCOOCCCCCCCCCO,CCCCCCCCCCCOOCCCCCCCCCO,1,145702013
70464732,334.5,C21H34O3,CCCCC(CC)CC(CCC(C)(C)C1=CC=C(C=C1)O)C(=O)O,4-ethyl-2-[3-(4-hydroxyphenyl)-3-methylbutyl]octanoic acid,0,2,C21H34O4,21843810.0,CCCCCCCCCCCCCCCCCCCCOCOO,CCCCCCCCCCCCCCCCCCCCOCOO,1,21843810
70464730,334.5,C21H34O3,CCCCCC(CC)C(CCC(C)(C)C1=CC=C(C=C1)O)C(=O)O,3-ethyl-2-[3-(4-hydroxyphenyl)-3-methylbutyl]octanoic acid,0,2,C21H34O4,21843810.0,CCCCCCCCCCCCCCCCCCCCOCOO,CCCCCCCCCCCCCCCCCCCCOCOO,1,21843810
70464549,298.4,C19H22O3,CC(C)(CCC(C1=CC=CC=C1)C(=O)O)C2=CC=C(C=C2)O,5-(4-hydroxyphenyl)-5-methyl-2-phenylhexanoic acid,0,2,C19H22O4,10335780.0,CCCCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCCCOOCCCCCCO,5,140257184;58734371;140257184;58734371;21479507
70452982,234.33,C15H22O2,CCCCCC(CC)C(=O)C1=CC=C(C=C1)O,2-ethyl-1-(4-hydroxyphenyl)heptan-1-one,0,4,C15H22O3,104891.0,CCCCCCCCCOCCCCCCO,CCCCCCCCCOCCCCCCO,3,129863636;22895300;66725845
70452329,376.6,C24H40O3,CCCCCCCCCCCCCCCC(CC(=O)O)C1=CC=C(C=C1)O,3-(4-hydroxyphenyl)octadecanoic acid,0,1,C24H40O4,67535936.0,CCCCCCCCCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCCCCCCCCOOCCCCCCO,2,155147457;155147427
70443618,194.23,C11H14O3,CC(C)[C@@H](C1=CC=C(C=C1)O)C(=O)O,(2S)-2-(4-hydroxyphenyl)-3-methylbutanoic acid,0,1,C11H14O4,11042019.0,CCCCCCCCCCOCOO,CCCCCCCCCCOCOO,1,134855359
70443503,260.279,C15H16O4,CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C(O)O,"2,2-bis(4-hydroxyphenyl)propane-1,1-diol",0,1,C15H16O5,130164.0,CCCCCCCCOCCCCCCOCOO,CCCCCCCCOCCCCCCOCOO,1,67748735
70434532,272.34,C17H20O3,CC(C)(C1=CC=C(C=C1)O)C2=CC(=C(C=C2)O)CCO,2-(2-hydroxyethyl)-4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,0,31,C17H20O4,276587.0,CCCCCCCCCOCCCCCCOCCO,CCCCCCCCCOCCCCCCOCCO,2,134420471;22146187
70429959,258.269,C15H14O4,C1=CC=C(C=C1)COC(=O)[C@@H](C2=CC=C(C=C2)O)O,benzyl (2R)-2-hydroxy-2-(4-hydroxyphenyl)acetate,0,0,C15H14O5,56981221.0,CCCCCCCOCOCCCCCCCOO,CCCCCCCOCOCCCCCCCOO,1,42604988
70429958,258.269,C15H14O4,C1=CC=C(C=C1)COC(=O)C(C2=CC=C(C=C2)O)O,benzyl 2-hydroxy-2-(4-hydroxyphenyl)acetate,0,1,C15H14O5,56981221.0,CCCCCCCOCOCCCCCCCOO,CCCCCCCOCOCCCCCCCOO,1,42604988
70399744,196.2,C10H12O4,CC(CC1=CC=C(C=C1)O)OC(=O)O,1-(4-hydroxyphenyl)propan-2-yl hydrogen carbonate,0,1,C10H12O5,4633871.0,CCCCCCCCCOOCOO,CCCCCCCCCOOCOO,2,131591829;53792926
70385540,238.28,C16H14O2,C/C=C/C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O,(4-hydroxyphenyl)-[4-[(E)-prop-1-enyl]phenyl]methanone,0,1,C16H14O3,9856398.0,CCCCCCCCCCOCCCCCCO,CCCCCCCCCCOCCCCCCO,1,172763972
70378947,210.23,C11H14O4,CCC(=O)OCC(C1=CC=C(C=C1)O)O,[2-hydroxy-2-(4-hydroxyphenyl)ethyl] propanoate,0,1,C11H14O5,10513403.0,CCCOOCCCCCCCCOO,CCCOOCCCCCCCCOO,2,141483109;141483108
70378946,210.23,C11H14O4,CCC(=O)OC(C)(C1=CC=C(C=C1)O)O,[1-hydroxy-1-(4-hydroxyphenyl)ethyl] propanoate,0,1,C11H14O5,10513403.0,CCCOOCCCCCCCCOO,CCCOOCCCCCCCCOO,2,141483109;141483108
70378944,224.25,C12H16O4,CC(C)(C)C(C1=CC=C(C=C1)O)OC(=O)O,"[1-(4-hydroxyphenyl)-2,2-dimethylpropyl] hydrogen carbonate",0,1,C12H16O5,677216.0,CCCCCCCCCCCOOCOO,CCCCCCCCCCCOOCOO,1,150971636
70378943,270.32,C17H18O3,CC(C)(C)C1=C(C=CC=C1C(=O)O)C2=CC=C(C=C2)O,2-tert-butyl-3-(4-hydroxyphenyl)benzoic acid,0,1,C17H18O4,614400.0,CCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCOOCCCCCCO,5,158577763;118895143;22895355;159824507;118895143
70377873,258.35,C17H22O2,CCC.CC1=C(C=CC(=C1C)O)C2=CC=C(C=C2)O,"4-(4-hydroxyphenyl)-2,3-dimethylphenol;propane",0,2,C17H22O3,22644486.0,CCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCOCCCCCCO,2,157098343;141391586
70372524,236.31,C14H20O3,CC[C@H](C)COC(=O)C(C)C1=CC=C(C=C1)O,[(2S)-2-methylbutyl] 2-(4-hydroxyphenyl)propanoate,0,2,C14H20O4,10354846.0,CCCCCOCOCCCCCCCCO,CCCCCOCOCCCCCCCCO,2,142661475;86278562
70372382,270.32,C17H18O3,CCC1=CC(=C(C(=C1)C(=O)C)OC)C2=CC=C(C=C2)O,1-[5-ethyl-3-(4-hydroxyphenyl)-2-methoxyphenyl]ethanone,0,1,C17H18O4,614400.0,CCCCCCCCCOCOCCCCCCCO,CCCCCCCCCOCOCCCCCCCO,1,138558212
70372365,214.26,C14H14O2,CCC1=C(C(=CC=C1)C2=CC=C(C=C2)O)O,2-ethyl-6-(4-hydroxyphenyl)phenol,0,1,C14H14O3,17767753.0,CCCCCCCCCCCCCCOO,CCCCCCCCCCCCCCOO,36,167915415;153925158;129105610;117850898;102577095;101303079;101303075;101303071;101303070;101303040;101303036;101303032;101303031;101303028;101303027;101303016;101303013;101303012;101303001;101302998;101302997;101302986;101299847;101299844;101299841;101299451;101299388;89965086;89733800;70188288;50908655;22925896;20355700;20355697;20355683;17816442
70367129,270.28,C16H14O4,CC1=CC=C(C=C1)C(=O)OCC(=O)C2=CC=C(C=C2)O,[2-(4-hydroxyphenyl)-2-oxoethyl] 4-methylbenzoate,0,1,C16H14O5,44257524.0,CCCCCCCCOOCCOCCCCCCO,CCCCCCCCOOCCOCCCCCCO,1,130335503
70363486,286.32,C17H18O4,CCCC(C1=CC=C(C=C1)O)C(=O)OC2=CC=C(C=C2)O,(4-hydroxyphenyl) 2-(4-hydroxyphenyl)pentanoate,0,0,C17H18O5,9972142.0,CCCCCCCCCCOCOOCCCCCCO,CCCCCCCCCCOCOOCCCCCCO,1,159666758
70348724,250.33,C15H22O3,CCCCOC(=O)C(CCC)C1=CC=C(C=C1)O,butyl 2-(4-hydroxyphenyl)pentanoate,0,2,C15H22O4,10264899.0,CCCCOCOCCCCCCCCCCO,CCCCOCOCCCCCCCCCCO,2,101771512;11254137
70348723,250.33,C15H22O3,CCCCOC(=O)CCCCC1=CC=C(C=C1)O,butyl 5-(4-hydroxyphenyl)pentanoate,0,0,C15H22O4,10264899.0,CCCCOCOCCCCCCCCCCO,CCCCOCOCCCCCCCCCCO,2,101771512;11254137
70348503,356.5,C22H28O4,CCCCC(C(C)CC)OC(=O)OC1=CC=C(C=C1)C2=CC=C(C=C2)O,[4-(4-hydroxyphenyl)phenyl] 3-methyloctan-4-yl carbonate,0,1,C22H28O5,10523320.0,CCCCCCCCCOCOOCCCCCCCCCCCCO,CCCCCCCCCOCOOCCCCCCCCCCCCO,1,90416370
70348502,356.5,C22H28O4,CCC(C)CCCCCOC(=O)OC1=CC=C(C=C1)C2=CC=C(C=C2)O,[4-(4-hydroxyphenyl)phenyl] 6-methyloctyl carbonate,0,1,C22H28O5,10523320.0,CCCCCCCCCOCOOCCCCCCCCCCCCO,CCCCCCCCCOCOOCCCCCCCCCCCCO,1,90416370
